|q|a|d
251|在建设梯台时，为什么要求梯台埂坎尽量由原土构成？|埂坎高度宜控制在2米以内，并将梯台间坎壁夯筑牢固|35
252|在修建生产作业道路时，对于不同地形的道路设置有什么具体要求？|缓坡地形，道路宜呈斜线形；陡坡地形，道路宜呈S形盘旋设置|35
253|在山地省力化园地规划与整治中，为了方便水土保持和机械操作，梯田是如何修筑作业道的？|沿等高线修筑作业道作为宽行的行向|35
254|请问在山地省力化园地规划与整治中，梯田是如何根据地形等高线构建的？|随地形等高线筑成水平状梯田|35
255|平地果园和山地果园的栽植密度分别是什么？|平地果园的栽植密度为株距×行距3米×5米，山地果园的栽植密度为株距×行距4米×4米。|36
256|苗木栽植前需要进行哪些准备工作？|苗木栽植前需要清除嫁接膜，适度修剪根系，并将根部蘸生根粉1000倍液与K84的混合液。|36
257|什么是李高效生产及绿色防控技术？|李高效生产及绿色防控技术是指在李树种植过程中采用的一系列高效生产方法和绿色防控措施，以提高产量和品质，同时保护环境。|36
258|苗木的定植时间是什么时候？|苗木的定植时间是11月至翌年2月。|36
259|果园的水利规划主要包括哪些方面？|果园的水利规划主要包括灌溉和排水两个方面，灌溉以蓄引为主，排水则通过拦洪沟、梯田及作业道背沟、排水沟和涵管等设施来实现。|36
260|授粉树应该如何配置？|授粉树的配置应根据品种需要适当配置，以保证良好的授粉效果。|36
261|红黄壤对李树的生长有哪些不利影响？|红黄壤黏重或瘠薄，土壤pH偏低，酸度大，土壤物理性状差，且极度缺乏有机质，这些都是李树栽培的主要障碍因子。|37
262|李树适宜生长在哪种类型的土壤中？|李树喜生长在土层较厚、结构疏松的沙质壤土中。|37
263|土壤酸碱度(pH)对李树的生长发育有何影响？|土壤酸碱度主要通过影响土壤养分有效性而影响李的生长发育。一般来说，土壤pH6.5左右时，多数矿质养分的有效性都较高。|37
264|为什么丰产优质李园的土壤有机质含量应该在1.5%以上？|因为土壤有机质不仅是土壤养分的贮藏库，能稳定而持久地供应多种营养元素，还能改善土壤理化性状和土壤结构。|37
265|如何进行李树土壤改良以提高果实品质？|通过土壤深翻、合理间作以及果园覆盖、生草等措施改良土壤结构和理化性状，增强保肥蓄水性能，加深活土层。|37
266|李高效生产及绿色防控技术的作用是什么？|李高效生产及绿色防控技术可以增加土壤间隙，通气透水，增强土壤保水、保肥能力，加速有机质腐烂和分解，提高土壤肥力，增加根系数量和分布深度，消灭杂草，减少果园病虫害的发生，加速土壤熟化，为果树第二年生长创造条件，同时有利于土壤风化和蓄水保墒。|38
267|什么是李高效生产及绿色防控技术的主要问题？|李高效生产及绿色防控技术主要包括土壤改良、深翻、增施有机肥、深翻改土、消灭杂草、减少果园病虫害、深翻时间选择、果实采收后深翻、南方地区深翻时间、根系生长、翻耕深度、土壤质地和土层结构、沙壤土翻耕深度、河滩地底层翻耕、李树行间或株间深翻、深翻沟距主干距离、厩肥、绿肥、饼肥混杂翻耕、肥料施用、深翻后灌水、土壤下沉、根系与土壤接触。|38
268|什么是李绿色高效栽培技术中的间作物选择原则？|间作物选择原则是根据李园空间结构选择适宜的间作品种，初定植的果园行间间距大、光照条件充足时可选择喜光、株型中等的间作物；随着树冠扩大，可选择耐阴、耐潮湿、株型矮小的品种进行间作。此外，间作物应选择根系分布浅、生育期短、生长高峰和肥水需求高峰与李错开的品种，避免与李形成水肥竞争，影响李的生长发育。间作物不应与李有相同的病虫害，不具蔓生性，以免造成果园树势衰弱、病虫害加重。首选生长期短，植株矮小，吸肥水较少，同时有提高土壤肥力、改良土壤结构作用的作物，如豆类、叶菜、薯类、西瓜、草莓及中药材等。|39
269|果园覆盖有什么作用？|果园覆盖能够减少土壤水分散失，增加土壤有机质含量，促进团粒结构形成，增强透水、通气性，促进果树根系的生长，减少地温的日变化和季节变化，促进土壤动物和微生物的活动，还能抑制杂草的生长，减少果园用工，从而起到保墒、调节地温、培肥地力、提高抗旱性的作用。|39
270|果园生草有哪些优点？|果园生草主要有以下优点：可以起到防风固沙，保持水土的作用；可大大提高土壤有机质含量。|39
271|果园生草多久需要翻耕休闲？|生草5~7年后需翻耕休闲1~2年，然后重新生草。|40
272|果园生草有哪些优点和缺点？|优点：提高土壤有效养分含量，改善果树生态环境，节省锄草用工，便于行间作业，实现果园的良性循环。缺点：与果树争肥水，早期落叶病加重，金纹细蛾发生趋重，妨碍施基肥操作，需肥、水较多，连年生草导致果树根系上浮。|40
273|李最佳氮、磷、钾比例是多少？|李绿色高效栽培技术|41
274|李在不同生育时期对养分的需求是什么？|李绿色高效栽培技术|41
275|李生长旺盛，结果量大，对土壤养分的需求比其他果树多，一般每生产100千克果实，需吸收哪些元素？|李绿色高效栽培技术|41
276|基肥是什么？|李绿色高效栽培技术|41
277|李果实增大除了疏果与修剪之外，还靠什么措施来实现？|李绿色高效栽培技术|41
278|什么是促进果树花芽分化，减少落花落果，防止大小年出现的方法？|李绿色高效栽培技术|41
279|李施肥主要分为哪几种类型？|李绿色高效栽培技术|41
280|施基肥最适宜的时期是什么时候？|李绿色高效栽培技术|41
281|李果实发育时间差异很大，应该根据哪些因素进行施肥？|李绿色高效栽培技术|41
282|施肥方法通常有哪些？|环状沟施、放射状沟施、灌溉式施肥|42
283|在生产实践中，基肥一般在什么时候施入？|采果后|42
284|李高效生产及绿色防控技术中，早秋施肥的好处是什么？|提高地温，减少根系冻害|42
285|花后追肥一般应该在什么时候进行？|幼果膨大期至转色期|42
286|中、晚熟品种每株施肥量一般是多少？|有机肥10~20千克+复合肥1.0~1.5千克+微量元素肥20~30克+硼、锌肥各10~20克|42
287|叶面喷肥在李绿色高效栽培技术中有什么作用？|叶面喷肥在李绿色高效栽培技术中可以保花保果，预防缩果、裂果等因缺素造成的生理病害，促进果实着色，提高商品性。|43
288|在李绿色高效栽培中，果实膨大期应如何进行叶面喷肥？|在李绿色高效栽培中，果实膨大期可以使用络佳钙1000∼1500倍液或动力钙600〜800倍液或氨基酸钙600〜800倍液进行叶面喷肥。|43
289|李树在哪些时期对水分的需求最高？|李树在新梢旺盛生长和果实迅速膨大时对水分的需求最高。|43
290|李树对水分的需求如何？|李树是浅根性果树，抗旱性中等，喜潮湿，但不耐涝。|43
291|叶面喷肥的关键时期有哪些？|叶面喷肥的关键时期包括：开花前，谢花后2周内，以及果实膨大期。|43
292|什么是叶面喷肥？|叶面喷肥是根部追肥的有效补充，可快速被植株吸收利用，通过根外追肥补充钙、镁、硼、锌、铁等中、微量元素。|43
293|如何防止李树因干旱或水分过多而引起的落花落果现象？|为了防止李树因干旱或水分过多而引起的落花落果现象，需要在花期进行适当的水分管理。|43
294|李树在哪个季节需要进行灌水？|李树在冬季需要进行灌水，也称越冬水或封冻水。|43
295|谢花后2周内，李绿色高效栽培中应如何进行叶面喷肥？|谢花后2周内，李绿色高效栽培中可以使用锌600~800倍液或络微2000~3000倍液进行叶面喷肥。|43
296|在李绿色高效栽培中，开花前应该使用什么液体进行叶面喷肥？|在李绿色高效栽培中，开花前可以使用硼1000〜1500倍液或络微2000~3000倍液进行叶面喷肥。|43
297|李高效生产及绿色防控技术中，灌水的方法有哪些？|地面大区漫灌、树盘浇灌、沟灌、穴灌、喷灌、滴灌|44
298|如何通过整形修剪提高李树的光合效率|合理调控树冠内外的枝条分布，保障树冠内部有充足的光照条件，提高叶片光合效率|45
299|整形修剪对李树营养生长和生殖生长之间的关系有何影响|通过采用不同的修剪方式缓和或加强树体生长势，平衡树体的营养生长与生殖生长|45
300|为什么需要控制李树的大小和形状|满足生产者与消费者的需求，达到人们对树体大小和形状的基本要求|45
301|整形修剪如何减少李树的病虫害发生|改善树冠内的通风透光条件，减少病虫害的发生，使树体健壮，减少农药使用|45
302|整形修剪对李树有哪些作用|调节树势、控制树体大小和形状、改善树体通风透光、促进高产稳产、有效延长树体的经济寿命|45
303|李树的常见树形有哪些？|自然开心形、疏散分层形|46
304|自然开心形李树的主干高度范围是多少？|40~60厘米|46
305|自然开心形李树有几个主枝？|3个|46
306|自然开心形李树在各主枝上配置几个副主枝？|2~3个|46
307|自然开心形李树的主枝与主干的角度范围是多少？|40°~45°|46
308|疏散分层形李树的主干高度范围是多少？|30~40厘米|46
309|疏散分层形李树有几个主枝？|5~7个|46
310|自然开心形李树的主枝间距一般是多少？|10厘米|46
311|疏散分层形李树第一层主枝的基角范围是多少？|50°~60°|46
312|平地李园李树的定干高度一般是多少？|40~60厘米|46
313|李树定植后多久进行修剪？|定植后立即进行|46
314|疏散分层形李树的副主枝与主枝之间的水平夹角是多少？|45°|46
315|幼年李树修剪的主要目的是什么？|抽梢扩大树冠、培育骨干枝、增加树冠枝梢和叶片|46
316|山地李树的定干高度一般是多少？|30~50厘米|46
317|为了防止主枝上下重叠和交叉，应注意李树各级枝条的什么关系？|从属关系，主枝大于侧枝，基部第一主枝大于第二、第三主枝|47
318|如何处理竞争枝与外围旺长枝？|疏除或多次摘心、拉枝|47
319|李树的冬季修剪通常剪去主枝延长枝的多少？|1/4~1/3|47
320|李树的主枝方位角一般调整为多少度？|约120°|47
321|如何调整李树主枝过于下垂的问题？|选留内芽的剪法或撑拉枝技术|47
322|如何调整李树主枝着生角度过小的问题？|利用“里芽外蹬”方式|47
323|冬季修剪时，为平衡主枝间的生长势，应该如何处理强枝和弱枝？|强枝强剪，弱枝轻剪|47
324|在李树的第三年修剪中，应如何处理各主枝上的第三侧枝？|使其方向与第二侧枝相反，间距为30~40厘米|47
325|在李树的夏季修剪中，对保留的枝条应该进行什么处理？|及时摘心，促使分枝|47
326|李树进入结果盛期应该做什么|扩大树冠，使主枝、副主枝具有明确的主从关系|48
327|李树定植后多久开始结果|3~5年后|48
328|如何控制初结果李树的生长势|剪除过强枝条或拉枝开张角度|48
329|初结果李树的主枝、副主枝延长枝如何处理|适当短截，剪口芽留外向芽|48
330|如何处理盛果期李树的长果枝和强旺生长枝|摘心处理，冬季再短截|48
331|如何适当疏枝以改善李树的光照条件|对树冠内的交叉枝、重叠枝和密生枝等，应予以疏除。对大枝背上剪、锯口萌生的丛生枝，在有空间时适当留1~2个，将其余的疏除。主枝和副主枝上的短果枝或花束状果枝，如果数量过多，应适当疏剪，以改善光照，延长盛果期年限。|49
332|如何更新培养李树的小型结果枝组|强旺的小型结果枝组，可剪去先端强枝，下部长果枝留7~8节花芽，中果枝留4~6节花芽，短果枝和花束状果枝不剪，如果过密可以疏除。过弱的小型枝组，回缩至花束状果枝处更新复壮。对直立徒长枝，过强的可视其着生位置情况进行修剪，没有利用价值的，从基部剪除；有利用价值的，去强留弱，去直立留平斜，促使其形成短果枝和花束状果枝，以培养新的枝组。也可采取拉枝措施，将强旺直立枝拉至水平。|49
333|如何进行冬季修剪以保持李树的理想树形和主从关系|冬季修剪基本要求是保持理想的树形和各级枝条间的主从关系，合理调节李树营养生长与生殖生长的关系。具体包括及时调冠整枝，保持上部稀、外围疏、内膛饱满、通风透光，控制树冠上部抽生的直立大枝，适当短截中庸枝，疏除交叉枝和重叠枝等。|49
334|李树冬季修剪时对延长枝应如何处理|对主枝、副主枝的延长枝适当短截，剪去先端部分的1/4~1/3，第二年可抽生2~3个枝条，选取一个开张角度适宜的枝作延长枝，再选留一个枝条作为侧生枝，其余枝条自基部剪除。|49
335|夏季修剪的目的是什么？|夏季修剪的目的是疏除部分花枝以提高坐果率，调节树体结构以减少养分消耗，适当留枝以增光减耗，以及及时处理长枝以促使苹果树更好地生长和结果。|50
336|如何通过修剪促进苹果树均衡树势？|通过适度短截营养枝和合理回缩修剪来促进苹果树均衡树势。适度短截营养枝指的是剪去枝条的1/4~1/3，合理回缩修剪则是从健壮处下剪，剪去先端下垂衰弱部分，并在剪口留内向芽以抬高枝梢位置，增强树势。|50
337|如何进行李树的衰老树修剪？|应加强肥水管理，更新复壮骨干枝，延缓主干枝的衰老和死亡，及时有计划地回缩更新枝组，集中养分供应，使之尽快恢复生机，维持树势，延长其经济结果年限。|51
338|如何重新培养骨干枝？|对衰弱骨干枝，可培养树冠内部方位适宜的徒长枝代替。夏剪时，对徒长枝摘心，促其增粗生长，抽发副梢；冬剪时，选择先端长势较强的枝作为骨干枝培养，短截其先端衰弱部分的1/4~1/3，剪口芽留内向芽，抬高枝梢位置，增强枝势，使其及早代替衰弱骨干枝，恢复和形成完整的树冠。|51
339|更新复壮骨干枝的方法是什么？|根据树体衰弱程度及树体结构，在主枝、侧枝的中下部回缩大枝，选择角度较小、生长健旺的背上枝作延长枝；或在大枝的直立向上处回缩，促进隐芽萌发，将其培养成主枝头、侧枝头。|51
340|如何处理回缩后留下的小结果枝组？|要有计划地轮换回缩，使它们保持一定产量。对长势衰弱的结果枝组，应回缩到靠近骨干枝的位置。|51
341|如何更新结果枝组？|首先，将树冠上部的骨干枝组进行回缩(落头)，在其中下部2~3年生年轻枝组或中间枝(叶丛枝)处进行重短截回缩。其次，将树冠中下部的大枝组，回缩到先端2~3年生的枝背上角度大的分枝处，把原枝头剪去，以背上的小枝代替骨干枝头，促使回缩口下部的枝组或潜伏芽萌发成为强势新枝或徒长枝。然后摘心处理，并于新梢生长期留40~45厘米再次摘心，促其增粗生长，抽生副梢形成分枝，形成结果枝组，恢复生长势。对余下的大枝组，第二年采取同样的方法，进行回缩更新和新梢摘心，以形成短果枝和花束状果枝。连续2~3年采用先缩后放的方法，就可以培养出更新结果枝组。|51
342|衰老李树的更新复壮应该在什么情况下进行|在权衡利弊后决定是否进行，如老园入不敷出或老品种不符合市场需求时应进行更新复壮。|52
343|花果管理包括哪些措施|疏花疏果、保花保果、果实套袋、铺反光膜、夏季修剪等，旨在提高果实的外观和内在品质。|52
344|如何进行李树的修剪以促使其更新复壮|分枝处进行重回缩，培养新的结果枝组，适当疏剪背上旺长枝，保留中庸偏弱枝，通过先放后缩的方法培养结果枝组。|52
345|在李树修剪中，为什么要培养新的结果枝组|为了取代衰老的结果枝组，保持树的生长活力和提高产量。|52
346|大果型李树品种应该进行几次疏果|大果型李树品种通常需要进行2次以上的疏果，分别在落花后1~2周和花期结束后一个半月左右进行。|53
347|何时进行李树的疏果处理|李树的疏果处理应在花枝坐果后的1~2周内进行，根据品种、规格及长势来确定单株果树的果量，并疏除弱果、病果、畸形果等。|53
348|如何提高李花的坐果率|采取合理的疏花疏果措施，根据品种及环境条件的不同，灵活调整树体负载量，确保适量的坐果量以提高优质果率。|53
349|李花管理中疏花疏果的原则是什么|疏花疏果的原则是“疏果不如疏花、疏花不如疏枝”，即优先疏除过密的花朵和花芽，以减少后期疏果的工作量，并确保树体不会因负载过重而衰弱。|53
350|疏果时应该考虑哪些因素来确定单株果树的果量|疏果时应考虑品种、规格、长势等因素来确定单株果树的果量，同时遵循疏果原则，保证适量的负载量，以维护树势并确保优质果率的提高。|53
351|李树落花落果的主要原因是什么|品种差异、不良天气、树体养分不足|54
352|如何提高李树的坐果率|提高树体贮藏营养水平、保证授粉质量|54
353|什么是李流胶病|李流胶病是一种李树常见的病害，特别是在降水量多的地区，如长江流域及江南区域，管理不善的园区发生率极高。|55
354|李穿孔病包括哪几种类型|李穿孔病主要包括细菌性穿孔病、褐斑穿孔病、霉斑穿孔病三种类型，是李树上普遍发生的主要病害。|55
355|我国在李上已发现的虫害有多少种|据不完全统计，我国目前在李上已发现的虫害有170多种。|55
356|李褐腐病在我国的分布情况如何|李褐腐病在我国分布较广，北方、南方均有发生，尤其在多雨年份和果实害虫严重的情况下，会造成大量落果、烂果。|55
357|哪些害虫会对李产业造成严重危害和经济损失|李小食心虫、桃小食心虫、梨小食心虫等食心虫类害虫，以及卷叶蛾类、食叶蛾类、螨类、蚜类、介壳虫等害虫都会对李产业造成严重危害和经济损失。|55
358|我国李产区炭疽病的分布情况如何|炭疽病在我国李产区分布较广，尤其在江淮流域发生较重，常造成果实受害，降低产量。|55
359|桃蚜在我国哪个分布区域比较广泛？|我国均有分布|56
360|如何实现李生产绿色优质高效的目标？|贯彻“预防为主，治疗为辅，防治结合”的方针，合理地利用植物检疫、农业防治、生物防治、物理防治、化学防治等手段，将李的主要病虫害控制在经济阈值以下|56
361|梨小食心虫在我国哪个流域危害比较严重？|长江、黄河流域|56
362|桑盾蚧在我国哪个地理区域分布很广？|从海南、台湾至辽宁、华南、华东、华中、西南多省|56
363|李属坏死环斑病毒目前传入我国的省份有哪些？|十多个省、自治区、直辖市|56
364|李褐腐病主要危害哪些部位|果实、花、叶及枝梢|57
365|李褐腐病的病斑初始症状是什么|果面产生褐色圆形病斑|57
366|李褐腐病的防治方法有哪些|加强果园管理|57
367|李褐腐病属于哪个亚门|子囊菌亚门|57
368|什么是李褐腐病的病原|果生核盘菌|57
369|李袋果病的病原菌在什么地方越冬|以菌丝和子囊孢子或芽孢子在芽鳞片外表或芽鳞片间越冬|58
370|如何防治李袋果病|加强果园管理，及时摘除病叶，集中烧毁，增施肥料|58
371|哪些环境条件有利于李袋果病的发生|低温多雨，地势低洼、江河沿岸、低洼湖畔果园|58
372|李袋果病的侵染时期是什么时候|早春李露白发芽期遇雨水|58
373|李袋果病的叶片有哪些特征|在展叶期开始变成黄色或红色，叶面皱缩不平|58
374|李袋果病的病原是什么|子囊菌亚门的李外囊菌(Taphrina pruni)|58
375|李袋果病的枝梢有哪些特征|呈灰色，膨胀，组织松软|58
376|李袋果病主要危害哪些部位|果实、花、枝梢和叶片|58
377|李袋果病在我国哪些地区发生较多|东北和西南高原地区|58
378|李袋果病的病果有哪些特征|生长畸形，初期呈圆形或袋状，后逐渐变狭长，略弯曲，无核或仅能见到未发育好的皱形核，中空如囊，外部平滑，淡黄色至红色，皱缩后变成灰色至暗褐色或黑色|58
379|褐斑穿孔病的病斑穿孔边缘整齐吗|较整齐|59
380|褐斑穿孔病的分生孢子是通过什么传播的|风雨|59
381|哪些环境条件有利于褐斑穿孔病的发生和流行|低温多雨、地势低洼、果园郁闭、通风透光不良、树势衰弱、管理粗放的果园|59
382|褐色穿孔病的病斑边缘外围有什么特征|常有明显的坏死组织残余|59
383|褐斑穿孔病在什么条件下会产生灰褐色霉状物|潮湿时|59
384|褐斑穿孔病的病菌发育温度范围是多少|7~37℃|59
385|褐斑穿孔病的适宜温度是多少|25~28℃|59
386|褐斑穿孔病对哪些果树产生危害|桃、李、杏等核果类果树|59
387|褐斑穿孔病主要危害果树的哪个部位|叶片，也可侵害嫩梢和果实|59
388|褐斑穿孔病的病斑初期是什么颜色|紫红色至紫褐色|59
389|褐斑穿孔病的病斑后期边缘会发生什么变化|逐渐清晰，外围有时产生黄色晕圈|59
390|李穿孔性叶点病的病斑初期是什么颜色？|淡绿色至淡褐色|60
391|李穿孔性叶点病的病原属于哪个分类单位？|半知菌亚门腔孢纲球壳孢目叶点霉属|60
392|李穿孔性叶点病主要危害哪个部位？|叶片|60
393|李穿孔性叶点病的病斑后期会出现什么情况？|病斑表面散生出多个小黑点，有时病斑边缘可产生裂缝，形成穿孔|60
394|李霉斑穿孔病的病原有是什么？|嗜果刀孢[Clasterosporiumcarpophilum(Lev.)Aderh.]|61
395|防治李霉斑穿孔病的方法有哪些？|加强果园管理；化学防治，喷洒适量农药|61
396|李霉斑穿孔病主要危害哪些部位？|桃、李、杏、樱桃等核果类果树|61
397|请问李红点病主要危害哪些部位？|叶片，有时也侵害叶柄和果实。|62
398|李红点病的病原是什么？|子囊菌亚门的李疔菌[Polystigmarubrum(Pers.)DC.],无性阶段为半知菌亚门的多点霉菌[Polystigminaarubra(Desm.)Sacc.]。|62
399|李病虫害防治中，哪种病害的分生孢子器在7—8月成熟？|李病虫害|63
400|李病虫害防治中，哪种病害的病斑边沿不清楚？|李病虫害|63
401|李病虫害防治中，哪种病害的病斑会产生红黑色？|李病虫害|63
402|李病虫害防治中，哪种病害的症状包括病叶卷曲？|李病虫害|63
403|李病虫害防治中，哪种病害会在叶片上形成病斑？|李病虫害|63
404|李病虫害防治中，哪种病害会导致果实畸形？|李病虫害|63
405|李病虫害防治中，哪种病害的病原主要在病落叶上越冬？|李病虫害|63
406|李病虫害防治中，哪种病害的初侵染发生在展叶盛期到9月？|李病虫害|63
407|李病虫害防治中，哪种病害的病斑是橙红色的？|李病虫害|63
408|李病虫害防治中，哪种病害的病斑上会散生深红色小粒点？|李病虫害|63
409|李病虫害防治中，哪种病害的病原属于子囊菌亚门小丛壳属？|李病虫害|63
410|李病虫害防治中，哪种病害的无性阶段是半知菌亚门炭疽菌属的胶孢炭疽菌？|李病虫害|63
411|李病虫害防治中，哪些化学药剂可用于防治红点病？|李病虫害|63
412|李病虫害防治中，哪种病害需要从落花后开始喷药进行化学防治？|李病虫害|63
413|李病虫害防治中，哪种病害在管理粗放的果园发生较重？|李病虫害|63
414|李病虫害防治中，哪种病害的发生与多雨潮湿有关？|李病虫害|63
415|李病虫害防治中，哪种病害的子囊壳在10—11月叶片枯死后才完全成熟？|李病虫害|63
416|李病虫害防治中，哪种病原会导致叶片脱落？|李病虫害|63
417|李病虫害防治中哪种病害会导致叶片脱落？|李病虫害|63
418|炭疽病在什么时候发生|从花芽萌动到结果期|64
419|炭疽病的病斑特征是什么|淡褐色水渍状病斑，红褐色病斑，显著凹陷，分布小黑点，呈同心轮纹状排列|64
420|炭疽病是如何传播的|随风雨传播，通过伤口或幼嫩组织侵入新梢和幼果|64
421|炭疽病危害哪些部位|果实、叶片和新梢|64
422|炭疽病的越冬方式是什么|病菌主要在树上的病枝和僵果中越冬|64
423|疮痂病危害哪些水果？|疮痂病除了危害李子外，还危害梅子、杏子、桃子、扁桃、樱桃等多种核果类水果。|65
424|炭疽病在李树上是如何传播的|炭疽病主要通过分生孢子进行传播，这些孢子在雨水多的条件下产生、传播并侵染李树，特别是在果实膨大期，每次降雨后都可能导致孢子大量扩散，连续的阴雨天气可能导致病害暴发。|65
425|防治炭疽病的方法有哪些？|防治炭疽病的方法包括：|65
426|李高效生产及绿色防控技术中，新梢受害后会出现哪些症状？|初为长圆形浅褐色病斑，后呈暗褐色，病部微隆起，常发生流胶。|66
427|李高效生产及绿色防控技术中，叶片受害后会出现哪些症状？|初期产生多角形或不规则形灰绿色病斑，后发展为暗色或紫红色，最后病部干枯脱落而形成穿孔。|66
428|李高效生产及绿色防控技术中，病菌是如何越冬的？|病菌以菌丝体在枝梢病组织中越冬。|66
429|李高效生产及绿色防控技术中，哪些气候条件有利于病害流行？|多雨和高湿有利于病害流行，尤其是春季和初夏降水量多时。|66
430|李高效生产及绿色防控技术中，病菌何时产生分生孢子？|病菌在春季气温上升后产生分生孢子。|66
431|李高效生产及绿色防控技术中，孢子产生的最适温度和相对湿度是多少？|孢子产生的最适温度为20~28℃，相对湿度为80%以上。|66
432|李高效生产及绿色防控技术中，描述一下李果实发病初期的症状。|发病初期出现暗褐色至深褐色圆形斑点。|66
433|李高效生产及绿色防控技术中，危害李果实的病害主要表现在哪些部位？|果实肩部、尖部及胴部。|66
434|：李高效生产及绿色防控技术中，如何防治该病害？|：加强果园管理，秋末冬初结合修剪剪除病枯枝，清除僵果、残桩，集中烧毁或深埋，减少越冬菌源。注意雨后排水。|66
435|李高效生产及绿色防控技术中，果实发病后期可能出现什么症状？|病斑处发生龟裂，呈疮痂状，甚至造成果实开裂。|66
436|白粉病的无性阶段是什么？|白粉孢(OidiumerysiphoidesFr.)|67
437|李树的病虫害防治中，哪些措施可以减轻发病？|适时夏剪，改善果园通风透光条件|67
438|白粉病的病原是什么？|三指叉丝单囊壳[Podosphaeratridactyla(Wallr.)deBary]|67
439|李树的化学防治中，可以选用哪些药剂进行喷洒？|45%晶体石硫合剂50倍液、50%苯菌灵可湿性粉剂1500倍液等|67
440|白粉病在哪些果树上可以发生？|桃、李、杏、樱桃等核果类果树|67
441|白粉病是如何发生的？|白粉病病菌主要以菌丝体在病芽内或以闭囊壳在叶片上越冬，翌年产生子囊孢子，通过气流传播进行侵染危害，而后在田间蔓延。在芽内越冬的病菌，随病芽萌发形成病梢后产生大量分生孢子，通过气流传播，进行扩散。病菌多从气孔或皮孔侵染，该病在田间有多次再侵染，再侵染传播均为气流传播。|68
442|白粉病的症状是什么？|白粉病的症状是在受害部位表面产生一层白粉状物，叶片受害多发生在叶片正面，初期在叶面产生近圆形白色粉斑，后粉斑逐渐扩大成片状，病斑多时相互连片，叶面布满白粉；有时粉斑也可在叶背产生，相对应的叶面处出现褪绿黄斑。后期在白粉状物上可散生许多褐色至黑色的小颗粒状物，严重时叶片背面也可见。受害病叶凹凸不平、扭曲畸形，甚至脱落。|68
443|防治白粉病的方法有哪些？|防治白粉病的方法包括：(1)加强果园管理，如彻底清扫落叶，集中深埋或烧毁，消灭在落叶上越冬的病菌。春季发现病梢后及时剪除，集中深埋，减少田间发病中心及菌量。(2)化学防治，如往年病梢发生较重的果园，在落花后立即开始喷药，7~10天喷1次，连喷2次，控制和减少病梢形成。|68
444|白粉病在植物上主要危害哪些部位？|白粉病主要危害叶片、新梢和果实，也可侵染芽。|68
445|防治李褐锈病常用的化学药剂有哪些|30%已唑醇·乙嘧酚悬浮剂、12.5%烯唑醇可湿性粉剂、4%四氟醚唑水乳剂、50%醚菌酯水分散粒剂、250克/升吡唑·醚菌酯悬浮剂|69
446|如何防治李褐锈病|加强果园管理，清除落叶和杂草；化学防治，喷药兼防。|69
447|李褐锈病主要危害哪个部位|叶片|69
448|李褐锈病的病原是什么|刺李瘤双胞锈菌|69
449|李褐锈病的发病高峰期是什么时候|8—9月|69
450|李树腐烂病又称什么？|李树腐烂病又称干枯病、烂皮病。|71
451|李病虫害防治中提到的李膏药病是什么病？|李膏药病是李树上的一种病害。|71
452|如何防治李膏药病？|防治李膏药病的方法包括加强果园管理，合理施肥灌水，增强树势，提高树体抗病力。科学修剪，促进果园通风透光，雨季及时排水，降低环境湿度。结合修剪，清理李园，减少病源。果园行间不宜种植烟草、白菜、甜椒等农作物，以减少蚜虫夏季繁殖场所。秋季施肥及平时用药的基础上土施锌、硼等微量元素肥。|71
453|李树腐烂病在全国各产区是否都有分布？|是的，李树腐烂病在全国各产区均有分布。|71
454|李膏药病的发病原因是什么？|李膏药病的发生与李整体缺乏中、微量元素有很大的关系。|71
455|如何通过化学防治减少李腐烂病的发生？|李、杏、樱桃等核果类果树枝干受伤后不宜进行刮治|72
456|腐烂病在什么条件下会较重发生？|树势衰弱、抗病力降低时|72
457|请问李高效生产及绿色防控技术中主要防治哪种病害？|李腐烂病|72
458|防治李枝枯病可以采取哪些方法？|合理施肥，适当增施磷、钾肥，控制坐果量，保持健壮或中庸树势；合理修剪，确保树体通风透光；排水差、地下水位高的李园要开深沟排水，降低田间湿度；早期刮净病斑或及时剪除病枝，锯去枯死枝干，刮平，再涂抹3%甲基硫菌灵伤口愈合剂。|73
459|李枝枯病在哪些环境条件下会发生严重？|地势低洼、排水不良、湿度较大的园地|73
460|请问李枝枯病的优势菌株是什么？|七叶树壳梭孢|73
461|什么是真菌性流胶病|真菌性流胶病(fungalgummosis)在李上是一种发生最为普遍、造成危害最广的病害。|74
462|什么是李白纹羽病|李白纹羽病是美国黑李重要的根部病害，常造成黑李大批枯死。|75
463|如何防治李白纹羽病|防治李白纹羽病的方法包括：加强果园管理，增强抗病性；清除越冬菌源；化学防治等。|75
464|李白纹羽病的病原是什么|李白纹羽病的病原为子囊菌亚门的褐座坚壳[Rosellinianecatrix (Hartig)Berless]，无性世代为半知菌亚门的白纹羽束丝菌(Dematophoranecatrix)。|75
465|李高效生产中如何进行化学防治？|剔除病苗，栽植前用10%硫酸铜溶液或70%甲基硫菌灵可湿性粉剂500倍液浸根；症状初见时，切除已霉烂的根，浇施或撒施药液或药粉；上半年和下半年进行病树处理及施药，避免在7、8月高温、干燥季节扒土施药；使用25%甲霜灵可湿性粉剂、50%福美双可湿性粉剂、45%代森铵水剂等药剂进行药液灌根。|76
